quick_check
ok
name,drawings,min_number,max_number,min_id,max_id
baltbet-main,2199,2759,4959,202,11988
table_name,rows
drawings,2199
events,32985
quotes,32940
drawing_result_snapshots,4
drawing_preparations,5
drawing_event_pins,30
archived_packages,1
package_settlements,0
missing_visible_number
3843
3844
number,id,status,started_at,ended_at,event_count,unique_event_orders,blank_names,quote_rows,pool_complete,bk_complete,norm_complete,pin_complete,resolved_results,void_results,missing_results
2759,202,finished,,2020-07-06T16:00:00.000000Z,15,15,0,15,15,15,0,0,0,0,15
2760,203,finished,,2020-07-07T15:30:00.000000Z,15,15,0,15,15,15,0,0,0,0,15
2761,204,finished,,2020-07-08T17:00:00.000000Z,15,15,0,15,15,15,0,0,0,0,15
2762,205,finished,,2020-07-09T15:30:00.000000Z,15,15,0,15,15,15,0,0,0,0,15
2763,206,finished,,2020-07-10T15:30:00.000000Z,15,15,0,15,15,15,0,0,0,0,15
2764,207,finished,,2020-07-11T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2765,208,finished,,2020-07-12T12:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2766,209,finished,,2020-07-13T16:45:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2767,210,finished,,2020-07-14T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2768,211,finished,,2020-07-15T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2769,212,finished,,2020-07-16T14:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2770,213,finished,,2020-07-17T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2771,214,finished,,2020-07-18T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2772,215,finished,,2020-07-19T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2773,216,finished,,2020-07-20T13:00:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2774,217,finished,,2020-07-22T15:30:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2775,218,finished,,2020-07-23T15:45:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2776,219,finished,,2020-07-24T16:15:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2777,220,finished,,2020-07-25T12:30:00.000000Z,15,15,0,15,15,15,0,0,14,0,1
2778,221,finished,,2020-07-26T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2779,222,finished,,2020-07-27T16:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2780,223,finished,,2020-07-28T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2781,224,finished,,2020-07-29T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2782,225,finished,,2020-07-30T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2783,226,finished,,2020-07-31T15:40:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2784,227,finished,,2020-08-01T14:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2785,228,finished,,2020-08-02T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
2786,229,finished,,2020-08-03T15:00:00.000000Z,15,15,0,15,15,15,0,0,15,0,0
